"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"07.01.2023 06:13:06 UTC","19040137182","Versand durch Amazon Lagergebühr","","","Versand durch Amazon Lagergebühr","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-0,04","-0,04"
"22.01.2023 12:13:10 UTC","19125010852","Versand durch Amazon Lagergebühr","","","Versand durch Amazon Langzeitlagergebühr","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-0,19","-0,19"
"28.01.2023 10:16:36 UTC","19125010852","Verbindlichkeit","","","amzn1.cam.v1.sgid.18619799692","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0,04","0,04"
"28.01.2023 10:16:36 UTC","19125010852","Verbindlichkeit","","","amzn1.cam.v1.sgid.17886157732","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0,03","0,03"
"28.01.2023 10:16:36 UTC","19125010852","Verbindlichkeit","","","amzn1.cam.v1.sgid.17717302872","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0,03","0,03"
"28.01.2023 10:16:36 UTC","19125010852","Verbindlichkeit","","","amzn1.cam.v1.sgid.18953292262","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0,19","0,19"
"28.01.2023 10:16:36 UTC","19125010852","Verbindlichkeit","","","amzn1.cam.v1.sgid.18454008622","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0,04","0,04"
"28.01.2023 10:16:36 UTC","19125010852","Verbindlichkeit","","","amzn1.cam.v1.sgid.18072930312","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0,03","0,03"
"28.01.2023 10:16:36 UTC","19125010852","Verbindlichkeit","","","amzn1.cam.v1.sgid.18704535972","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0,19","0,19"
"28.01.2023 10:16:36 UTC","19125010852","Verbindlichkeit","","","amzn1.cam.v1.sgid.12770729882","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0,03","0,03"
"28.01.2023 10:16:36 UTC","19125010852","Verbindlichkeit","","","amzn1.cam.v1.sgid.18869619802","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0,04","0,04"
"28.01.2023 10:16:36 UTC","19125010852","Verbindlichkeit","","","amzn1.cam.v1.sgid.18289274892","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0,03","0,03"
"28.01.2023 10:16:36 UTC","19125010852","Verbindlichkeit","","","amzn1.cam.v1.sgid.12770729862","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0,03","0,03"
"28.01.2023 10:16:36 UTC","19125010852","Verbindlichkeit","","","amzn1.cam.v1.sgid.19040137182","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0,04","0,04"
"28.01.2023 10:16:36 UTC","19125010852","Verbindlichkeit","","","amzn1.cam.v1.sgid.17353623742","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0,03","0,03"
"28.01.2023 10:16:36 UTC","19125010852","Verbindlichkeit","","","amzn1.cam.v1.sgid.17516299892","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0,03","0,03"
"28.01.2023 10:16:36 UTC","19125010852","Verbindlichkeit","","","amzn1.cam.v1.sgid.17221235272","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0,03","0,03"
