"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
Définitions :
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
Frais de vente : Incluent des frais de clôture variable et des frais de référence.
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure,""numéro de versement"",""type"",""numéro de la commande"",""sku"",""description"",""quantité"",""Marketplace"",""traitement"",""ville d'où provient la commande"",""Région d'où provient la commande"",""code postal de la commande"",""Modèle de perception des taxes"",""ventes de produits"",""Taxes sur la vente des produits"",""crédits d'expédition"",""taxe sur les crédits d’expédition"",""crédits sur l'emballage cadeau"",""Taxes sur les crédits cadeaux"",""Rabais promotionnels"",""Taxes sur les remises promotionnelles"",""Taxes retenues sur le site de vente"",""frais de vente"",""Frais Expédié par Amazon"",""autres frais de transaction"",""autre"",""total"""
"4 juin 2024 08:17:16 UTC,""22257104462"",""Commande"",""404-3195086-0437162"",""F0-IEFL-VJDK"",""FLORATECK - Sugar-Royal - PLAGRON - 100ml"",""1"",""amazon.fr"",""Vendeur"",""Haguenau"","""",""67500"",""MarketplaceFacilitator"",""20,83"",""4,17"",""0"",""0"",""0"",""0"",""0"",""0"",""-4,17"",""-3,86"",""0"",""0"",""0"",""16,97"""
"6 juin 2024 06:45:06 UTC,""22347777472"",""Commande"",""171-0785402-4644328"",""F0-IEFL-VJDK"",""FLORATECK - Sugar-Royal - PLAGRON - 100ml"",""1"",""amazon.fr"",""Vendeur"",""Seclin"","""",""59113"",""MarketplaceFacilitator"",""20,83"",""4,17"",""0"",""0"",""0"",""0"",""0"",""0"",""-4,17"",""-3,86"",""0"",""0"",""0"",""16,97"""
"6 juin 2024 06:45:38 UTC,""22347777472"",""Commande"",""404-6346691-2817139"",""F0-IEFL-VJDK"",""FLORATECK - Sugar-Royal - PLAGRON - 100ml"",""1"",""amazon.fr"",""Vendeur"",""Villenave D Ornon"","""",""33140"",""MarketplaceFacilitator"",""20,83"",""4,17"",""0"",""0"",""0"",""0"",""0"",""0"",""-4,17"",""-3,86"",""0"",""0"",""0"",""16,97"""
"6 juin 2024 06:46:15 UTC,""22347777472"",""Commande"",""403-9160434-6499555"",""F0-IEFL-VJDK"",""FLORATECK - Sugar-Royal - PLAGRON - 100ml"",""1"",""amazon.fr"",""Vendeur"",""Nantes"","""",""44000"",""MarketplaceFacilitator"",""20,83"",""4,17"",""0"",""0"",""0"",""0"",""0"",""0"",""-4,17"",""-3,86"",""0"",""0"",""0"",""16,97"""
"7 juin 2024 03:20:12 UTC,""22347777472"",""Commande"",""408-6325253-8136345"",""F0-IEFL-VJDK"",""FLORATECK - Sugar-Royal - PLAGRON - 100ml"",""1"",""amazon.fr"",""Vendeur"",""Saintes"","""",""17100"",""MarketplaceFacilitator"",""20,83"",""4,17"",""0"",""0"",""0"",""0"",""0"",""0"",""-4,17"",""-3,86"",""0"",""0"",""0"",""16,97"""
"12 juin 2024 03:50:07 UTC,""22347777472"",""Commande"",""171-4614506-4287500"",""F0-IEFL-VJDK"",""FLORATECK - Sugar-Royal - PLAGRON - 100ml"",""1"",""amazon.fr"",""Vendeur"",""Bouguenais"","""",""44340"",""MarketplaceFacilitator"",""20,83"",""4,17"",""0"",""0"",""0"",""0"",""0"",""0"",""-4,17"",""-3,86"",""0"",""0"",""0"",""16,97"""
"12 juin 2024 10:07:07 UTC,""22347777472"",""Commande"",""402-7394515-6037909"",""F0-IEFL-VJDK"",""FLORATECK - Sugar-Royal - PLAGRON - 100ml"",""1"",""amazon.fr"",""Vendeur"",""Franconville La Garenne"","""",""95130"",""MarketplaceFacilitator"",""20,83"",""4,17"",""0"",""0"",""0"",""0"",""0"",""0"",""-4,17"",""-3,86"",""0"",""0"",""0"",""16,97"""
"13 juin 2024 06:51:20 UTC,""22347777472"",""Commande"",""405-3145351-7875556"",""F0-IEFL-VJDK"",""FLORATECK - Sugar-Royal - PLAGRON - 100ml"",""1"",""amazon.fr"",""Vendeur"",""RUE BRUNEL"","""",""75017"",""MarketplaceFacilitator"",""20,83"",""4,17"",""0"",""0"",""0"",""0"",""0"",""0"",""-4,17"",""-3,86"",""0"",""0"",""0"",""16,97"""
"13 juin 2024 06:52:21 UTC,""22347777472"",""Commande"",""408-7523402-7544367"",""F0-IEFL-VJDK"",""FLORATECK - Sugar-Royal - PLAGRON - 100ml"",""1"",""amazon.fr"",""Vendeur"",""Pertuis"","""",""84120"",""MarketplaceFacilitator"",""20,83"",""4,17"",""0"",""0"",""0"",""0"",""0"",""0"",""-4,17"",""-3,86"",""0"",""0"",""0"",""16,97"""
"14 juin 2024 03:11:09 UTC,""22347777472"",""Commande"",""406-6192662-7421926"",""PL-WC4O-YRBK"",""SpaTime Bayrol Granulés anti-calcaire pour entretien de bain à remous 1 l"",""1"",""amazon.fr"",""Vendeur"",""Perigny"","""",""17180"",""MarketplaceFacilitator"",""23,33"",""4,67"",""0"",""0"",""0"",""0"",""0"",""0"",""-4,67"",""-4,33"",""0"",""0"",""0"",""19,00"""
